continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
Asia,Afghanistan,1/3/2021,0,0,0,0
Asia,Afghanistan,1/10/2021,0,0,0,0
Asia,Afghanistan,1/17/2021,0,0,0,0
Asia,Afghanistan,1/24/2021,0,0,0,0
Asia,Afghanistan,1/31/2021,0,0,0,0
Asia,Afghanistan,2/7/2021,0,0,0,0
Asia,Afghanistan,2/14/2021,0,0,0,0
Asia,Afghanistan,2/21/2021,0,0,0,0
Asia,Afghanistan,2/28/2021,8200,8200,0,0
Asia,Afghanistan,3/7/2021,0,0,0,0
Asia,Afghanistan,3/14/2021,0,0,0,0
Asia,Afghanistan,3/21/2021,0,0,0,0
Asia,Afghanistan,3/28/2021,0,0,0,0
Asia,Afghanistan,4/4/2021,0,0,0,0
Asia,Afghanistan,4/11/2021,0,0,0,0
Asia,Afghanistan,4/18/2021,0,0,0,0
Asia,Afghanistan,4/25/2021,0,0,0,0
Asia,Afghanistan,5/2/2021,0,0,0,0
Asia,Afghanistan,5/9/2021,0,0,0,0
Asia,Afghanistan,5/16/2021,0,0,0,0
Asia,Afghanistan,5/23/2021,0,0,0,0
Asia,Afghanistan,5/30/2021,600152,480226,119926,0
Asia,Afghanistan,6/6/2021,0,0,0,0
Asia,Afghanistan,6/13/2021,0,0,0,0
Asia,Afghanistan,6/20/2021,0,0,0,0
Asia,Afghanistan,6/27/2021,835694,649434,186260,0
Asia,Afghanistan,7/4/2021,0,0,0,0
Asia,Afghanistan,7/11/2021,962093,742934,219159,0
Asia,Afghanistan,7/18/2021,1094257,0,0,0
Asia,Afghanistan,7/25/2021,0,0,0,0
Asia,Afghanistan,8/1/2021,0,0,0,0
Asia,Afghanistan,8/8/2021,0,0,0,0
Asia,Afghanistan,8/15/2021,0,0,0,0
Asia,Afghanistan,8/22/2021,0,0,0,0
Asia,Afghanistan,8/29/2021,0,0,0,0
Asia,Afghanistan,9/5/2021,0,0,0,0
Asia,Afghanistan,9/12/2021,0,0,0,0
Asia,Afghanistan,9/19/2021,0,0,0,0
Asia,Afghanistan,10/3/2021,0,0,0,0
Asia,Afghanistan,10/10/2021,0,0,0,0
Asia,Afghanistan,10/17/2021,0,0,0,0
Asia,Afghanistan,10/24/2021,0,0,0,0
Asia,Afghanistan,10/31/2021,0,0,0,0
Asia,Afghanistan,11/7/2021,0,0,0,0
Asia,Afghanistan,11/14/2021,4018197,3530173,3188609,0
Asia,Afghanistan,11/21/2021,0,0,0,0
Asia,Afghanistan,11/28/2021,0,0,0,0
Asia,Afghanistan,12/5/2021,0,0,0,0
Asia,Afghanistan,12/12/2021,0,0,0,0
Asia,Afghanistan,12/19/2021,0,0,0,0
